,code,creator,product_name,generic_name,quantity,brands,brands_tags,categories,categories_tags,serving_size,energy_100g,fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,starch_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,alcohol_100g,folates_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,iron_100g,fluoride_100g,iodine_100g,caffeine_100g,cocoa_100g,demo_cat
1816,11110008817,usda-ndb-import,Maple Glazed Cake Donuts,,,"Kroger,  The Kroger Co.","kroger,the-kroger-co",,,71 g (1 DONUT),1828,19.72,0,59.15,35.21,,1.4,4.23,1.14554,0.451,,,,,,0.113,0.00203,,,,,donut
2271,11110198990,usda-ndb-import,"Cake Donuts, S'Mores",,,"Bakery Fresh Goodness,  The Kroger Co.","bakery-fresh-goodness,the-kroger-co",,,62 g (1 DONUT),1686,20.97,0.016,51.61,30.65,,1.6,3.23,1.18872,0.468,,,,,,0.065,0.00232,,,,,donut
9226,11225127700,usda-ndb-import,"Sweet P's Bake Shop, Jumbo Glazed Raised Donuts",,,Kingston Marketing Co,kingston-marketing-co,,,78 g (1 DONUT),1611,19.23,0,47.44,15.38,,1.3,5.13,1.0414,0.41,,,,,,0.103,0.00138,,,,,donut
21563,24300806247,usda-ndb-import,Mini Donuts,,,"Little Debbie,  Mckee Foods Corporation","little-debbie,mckee-foods-corporation",,,122 g (8 DONUTS),1987,27.05,0.02,55.74,30.33,,1.6,4.1,1.06172,0.418,,,,0.164,,0.033,0.00221,,,,,donut
78073,72030015712,usda-ndb-import,Frosted Donuts,,,Entenmann's,entenmann-s,,,48 g (48 g),2004,31.25,0.021,47.92,27.08,,2.1,4.17,0.9525,0.375,,,,,,0,0.0015,,,,,donut
78095,72030021645,usda-ndb-import,Pop'Ettes Powdered Donuts,,,"Entenmann's,  Bimbo Bakeries Usa  Inc.","entenmann-s,bimbo-bakeries-usa-inc",,,57 g (57 g),1983,28.07,0.026,52.63,26.32,,1.8,3.51,0.93472,0.368,,,,,,0,0.00126,,,,,donut
86568,74323091137,usda-ndb-import,"Donas, Sugared Donuts",,,Bimbo Bakeries Usa  Inc.,bimbo-bakeries-usa-inc,,,55 g (2 PIECES),1824,21.82,0.027,54.55,25.45,,0,5.45,1.29286,0.509,,,,,,0.182,0.00327,,,,,donut
91358,76185003815,usda-ndb-import,Variety Pack Donut Holes,,,Arnie's,arnie-s,,,71 g (71 g),1473,16.9,0.028,43.66,18.31,,1.4,5.63,1.25222,0.493,,,,,,0.056,0.00203,,,,,donut
91435,76265185905,usda-ndb-import,Plain Cake Mini Donuts,,,Maple Donuts Inc,maple-donuts-inc,,,45 g (2 DONUTS),1858,28.89,0.011,40,11.11,,2.2,2.22,1.29794,0.511,,,,,,0,0.0016,,,,,donut
171593,8.88109E+11,usda-ndb-import,"Donettes, Mini Donuts, Frosted",,,Hostess,hostess,,,85 g (3 oz),2017,30.59,0.012,48.24,30.59,,1.2,3.53,0.77724,0.306,,,,,,0.024,0.00212,,,,,donut
171657,8.88109E+11,usda-ndb-import,Red Velvet Mini Donuts,,,Hostess,hostess,,,53 g (3 DONUTS),1736,20.75,0.009,52.83,30.19,,1.9,3.77,0.6477,0.255,,,,,,0.038,0.00204,,,,,donut
280327,5.05138E+12,usda-ndb-import,Baked Donuts,,,Fresh & Easy,fresh-easy,,,57 g (1 DONUT),1469,14.04,0.07,56.14,36.84,,0,7.02,0.3556,0.14,,,,,,0,0.00189,,,,,donut
