brands,brands_tags,carbohydrates_100g,cholesterol_100g,code,creator,demo_cat,energy_100g,fat_100g,fiber_100g,hos,image_url,product_name,proteins_100g,serving_size,sodium_100g,sugars_100g
Guiltless Gourmet,guiltless-gourmet,78.57,0.0,N901000017,usda-ndb-import,yellow corn tortilla,1795.0,10.71,7.1,0,,Guiltless Gourmet Yellow Corn Tortilla Chips,7.14,28 g (1 oz),0.643,0.0
Trader Joe's,trader-joe-s,5.65,0.008,N98601,usda-ndb-import,chicken noodle soup,151.0,0.4,0.4,0,,Trader Joe's Chicken Noodle Soup,2.42,248 g (1 cup),0.294,0.4
"Bakery Fresh Goodness,  The Kroger Co.","bakery-fresh-goodness,the-kroger-co",77.65,0.024,N11110197900,usda-ndb-import,red velvet cake,1971.0,17.65,0.0,0,,"Bakery Fresh Goodness Triple Layer Red Velvet Cake, Peppermint",1.18,85 g (1 SLICE),0.353,65.88
The Kroger Co.,the-kroger-co,44.44,0.032,N11110577276,usda-ndb-import,ice cream sandwich,1130.0,9.52,1.6,0,,The Kroger Co. Ice Cream Sandwich,4.76,63 g (1 SANDWICH),0.23800000000000002,20.63
Simple Truth Organic,simple-truth-organic,18.75,0.0,N11110791559,usda-ndb-import,crunchy peanut butter,2615.0,50.0,9.4,0,,Simple Truth Organic Crunchy Peanut Butter,25.0,32 g (2 Tbsp),0.375,6.25
Kroger,kroger,53.57,0.0,N11110796486,usda-ndb-import,cooked potato chips,2243.0,32.14,3.6,0,,"Kroger Kettle Cooked Potato Chips, Sea Salt & Cracked Pepper",7.14,28 g (1 oz),0.39299999999999996,0.0
Kroger,kroger,21.43,0.0,N11110819376,usda-ndb-import,dry roasted peanuts,2389.0,46.43,7.1,0,,Kroger Dry Roasted Peanuts,21.43,28 g (1 oz),0.607,3.57
P$$T... Big Savings... Pass It On,p-t-big-savings-pass-it-on,0.0,0.0,N11110836281,usda-ndb-import,vegetable oil spread,2092.0,50.0,0.0,0,,P$$T... Big Savings... Pass It On 53% Vegetable Oil Spread,0.0,14 g (1 Tbsp),0.643,0.0
Kroger,kroger,8.8,0.004,N11110837158,usda-ndb-import,mushroom condensed soup,268.0,2.0,0.0,0,,Kroger 98% Fat Free Cream Of Mushroom Condensed Soup,1.6,125 g (0.5 cup),0.64,1.6
Kroger,kroger,14.0,0.01,N11110839305,usda-ndb-import,chili with beans,502.0,4.0,4.4,0,,Kroger Chili With Beans,6.8,250 g (1 cup),0.496,2.0
Kroger,kroger,8.9,0.03,N11110839510,usda-ndb-import,corned beef hash,707.0,10.17,0.8,0,,Kroger Corned Beef Hash,9.32,236 g (1 cup),0.39,0.42
