,id,code,creator,hos,product_name,image_url,generic_name,quantity,brands,brands_tags,categories,categories_tags,serving_size,energy_100g,fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,starch_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,alcohol_100g,folates_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,iron_100g,fluoride_100g,iodine_100g,caffeine_100g,cocoa_100g,demo_cat
0,132163,713733903387,usda-ndb-import,1,Low Sodium Applause Crackers,https://static.meijer.com/Media/007/13733/0071373390338_0_A1C1_0600.png,,,Meijer,meijer,,,16 g (16 g),2092,28.12,0.0,62.5,6.25,,0.0,6.25,0.47752,0.188,,,,,,0.0,0.0045,,,,,cracker
1,169765,876274001858,usda-ndb-import,0,"Snack Time, Stack Pack Salted Crackers",,,,Global,global,,,28 g (28 g),2092,21.43,0.0,71.43,7.14,,0.0,7.14,0.7721600000000001,0.304,,,,,,0.0,0.0,,,,,cracker
2,171593,888109050023,usda-ndb-import,1,"Donettes, Mini Donuts, Frosted",https://s-media-cache-ak0.pinimg.com/originals/3a/99/87/3a9987aca1bdace098246db022c23939.jpg,,,Hostess,hostess,,,85 g (3 oz),2017,30.59,0.012,48.24,30.59,,1.2,3.53,0.7772399999999999,0.306,,,,,,0.024,0.00212,,,,,donut
3,78073,72030015712,usda-ndb-import,0,Frosted Donuts,http://www.shugarysweets.com/wp-content/uploads/2013/02/glazed_donut.jpg,,,Entenmann's,entenmann-s,,,48 g (48 g),2004,31.25,0.021,47.92,27.08,,2.1,4.17,0.9525,0.375,,,,,,0.0,0.0015,,,,,donut
4,21563,24300806247,usda-ndb-import,1,Mini Donuts,http://bitemefoods.com.au/wp-content/uploads/2014/10/donuts.png,,,"Little Debbie,  Mckee Foods Corporation","little-debbie,mckee-foods-corporation",,,122 g (8 DONUTS),1987,27.05,0.02,55.74,30.33,,1.6,4.1,1.06172,0.418,,,,0.16399999999999998,,0.033,0.00221,,,,,donut
5,78095,72030021645,usda-ndb-import,0,Pop'Ettes Powdered Donuts,https://jpg.seasonskosher.com/content/images/thumbs/0100798_entenmanns-popems-powdered-donuts.jpeg,,,"Entenmann's,  Bimbo Bakeries Usa  Inc.","entenmann-s,bimbo-bakeries-usa-inc",,,57 g (57 g),1983,28.07,0.026000000000000002,52.63,26.32,,1.8,3.51,0.9347200000000001,0.368,,,,,,0.0,0.00126,,,,,donut
6,5599,11150146098,usda-ndb-import,1,"Kids Graham Crackers, Chocolate",http://www.candywarehouse.com/assets/item/regular/milk-chocolate-covered-graham-crackers-128400-ic2.jpg,,,Roundy's,roundy-s,,,30 g (19 COOKIES),1954,15.0,0.0,73.33,23.33,,3.3,6.67,1.05918,0.41700000000000004,,,,,,0.0,0.0036,,,,,cracker
7,92296,76606720956,usda-ndb-import,0,"Savory Snack Cracker, Celery & Onion",http://www.baldersonvillagecheese.com/gourmet-foods/kasseler-crackers.jpg,,,Medford Farms,medford-farms,,,15 g (15 g),1954,26.67,0.0,60.0,0.0,,0.0,6.67,2.54,1.0,,,,,,0.133,0.0024,,,,,cracker
8,91435,76265185905,usda-ndb-import,0,Plain Cake Mini Donuts,http://www.fridaycakenight.com/wp-content/uploads/2014/10/Baked-pumpkin-donuts-with-maple-glaze-782x1024.jpg,,,Maple Donuts Inc,maple-donuts-inc,,,45 g (2 DONUTS),1858,28.89,0.011000000000000001,40.0,11.11,,2.2,2.22,1.2979399999999999,0.511,,,,,,0.0,0.0016,,,,,donut
9,40525,,usda-ndb-import,0,Roland Water Crackers,http://www.rolandfood.com/i/product_images/l/091/71020_ClassicCracker_Right__29912_zoom.png,,,Roland,roland,,,16 g (16 g),1833,6.25,0.0,75.0,0.0,,6.2,6.25,1.905,0.75,,,,,,0.0,0.0,,,,,cracker
