id,code,creator,hos,product_name,image_url,generic_name,quantity,brands,brands_tags,categories,categories_tags,serving_size,energy_100g,fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,starch_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,alcohol_100g,folates_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,iron_100g,fluoride_100g,iodine_100g,caffeine_100g,cocoa_100g,demo_cat
78734,72036713612,usda-ndb-import,1,"Cracker Cuts, Sharp Cheddar Cheese",http://www.crackerbarrelcheese.com/images/Extra_Sharp_Yellow_Cheddar_Cuts.png,,,Ht Traders,ht-traders,,,28 g (28 g),1644,32.14,0.107,0,0,,0,25,1.63322,0.643,,,,,,0.714,0,,,,,cracker
78073,72030015712,usda-ndb-import,1,Frosted Donuts,http://lifemadesweeter.com/wp-content/uploads/Chocolate-Frosted-Donuts-with-Sprinkles-makes-the-perfect-breakfast-or-sweet-treat-e1464603300693.jpg,,,Entenmann's,entenmann-s,,,48 g (48 g),2004,31.25,0.021,47.92,27.08,,2.1,4.17,0.9525,0.375,,,,,,0,0.0015,,,,,donut
171593,8.88109E+11,usda-ndb-import,1,"Donettes, Mini Donuts, Frosted",https://s-media-cache-ak0.pinimg.com/originals/3a/99/87/3a9987aca1bdace098246db022c23939.jpg,,,Hostess,hostess,,,85 g (3 oz),2017,30.59,0.012,48.24,30.59,,1.2,3.53,0.77724,0.306,,,,,,0.024,0.00212,,,,,donut
91435,76265185905,usda-ndb-import,1,Plain Cake Mini Donuts,http://www.fridaycakenight.com/wp-content/uploads/2014/10/Baked-pumpkin-donuts-with-maple-glaze-782x1024.jpg,,,Maple Donuts Inc,maple-donuts-inc,,,45 g (2 DONUTS),1858,28.89,0.011,40,11.11,,2.2,2.22,1.29794,0.511,,,,,,0,0.0016,,,,,donut
17698,21130266302,usda-ndb-import,1,"Pie Crust, Graham Cracker",http://thebakingpan.com/wp-content/uploads/2013/05/Graham-Cracker-Crust.jpg,,,"Signature Kitchens,  Safeway  Inc.","signature-kitchens,safeway-inc",,,21 g (0.125 CRUST),2192,28.57,0,57.14,23.81,,0,4.76,0.84582,0.333,,,,,,0,0.00171,,,,,cracker
132163,7.13734E+11,usda-ndb-import,1,Low Sodium Applause Crackers,https://static.meijer.com/Media/007/13733/0071373390338_0_A1C1_0600.png,,,Meijer,meijer,,,16 g (16 g),2092,28.12,0,62.5,6.25,,0,6.25,0.47752,0.188,,,,,,0,0.0045,,,,,cracker
78095,72030021645,usda-ndb-import,1,Pop'Ettes Powdered Donuts,https://b88999e18c89e80431a4-abc09c86eb4dd7b78c0b34703b49a2cf.ssl.cf2.rackcdn.com/0072030021640_A1A3_ItemMaster_type_large.jpeg,,,"Entenmann's,  Bimbo Bakeries Usa  Inc.","entenmann-s,bimbo-bakeries-usa-inc",,,57 g (57 g),1983,28.07,0.026,52.63,26.32,,1.8,3.51,0.93472,0.368,,,,,,0,0.00126,,,,,donut
21563,24300806247,usda-ndb-import,1,Mini Donuts,http://www.cookingclassy.com/wp-content/uploads/2016/02/baked_mini_cinnamon_sugar_donuts..jpg,,,"Little Debbie,  Mckee Foods Corporation","little-debbie,mckee-foods-corporation",,,122 g (8 DONUTS),1987,27.05,0.02,55.74,30.33,,1.6,4.1,1.06172,0.418,,,,0.164,,0.033,0.00221,,,,,donut
92296,76606720956,usda-ndb-import,1,"Savory Snack Cracker, Celery & Onion",http://www.baldersonvillagecheese.com/gourmet-foods/kasseler-crackers.jpg,,,Medford Farms,medford-farms,,,15 g (15 g),1954,26.67,0,60,0,,0,6.67,2.54,1,,,,,,0.133,0.0024,,,,,cracker
98466,78742129082,usda-ndb-import,0,"Baked Buttery Crackers, Naturally Flavored",,,,"Great Value,  Wal-Mart Stores  Inc.","great-value,wal-mart-stores-inc",,,16 g (5 CRACKERS),1833,25,0,50,6.25,,0,6.25,1.66624,0.656,,,,0.062,,0.125,0.00225,,,,,cracker
