,Unnamed: 0,code,creator,product_name,generic_name,quantity,brands,brands_tags,categories,categories_tags,serving_size,energy_100g,fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,starch_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,alcohol_100g,folates_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,iron_100g,fluoride_100g,iodine_100g,caffeine_100g,cocoa_100g,demo_cat,serv_size,serv_factor,energy,cholesterol,carbohydrates,sugars,starch,fiber,proteins,salt,sodium,alcohol,folates,bicarbonate,potassium,chloride,calcium,iron,fluoride,iodine,caffeine,cocoa
0,1816,11110008817,usda-ndb-import,Maple Glazed Cake Donuts,,,"Kroger,  The Kroger Co.","kroger,the-kroger-co",,,71 g (1 DONUT),1828.0,19.72,0.0,59.15,35.21,,1.4,4.23,1.14554,0.451,,,,,,0.113,0.00203,,,,,donut,71,0.71,1297.88,0.0,41.9965,24.9991,,0.994,3.0033,0.8133334,0.32021,,,,,,0.08023,0.0014413,,,,
1,2271,11110198990,usda-ndb-import,"Cake Donuts, S'Mores",,,"Bakery Fresh Goodness,  The Kroger Co.","bakery-fresh-goodness,the-kroger-co",,,62 g (1 DONUT),1686.0,20.97,0.016,51.61,30.65,,1.6,3.23,1.18872,0.468,,,,,,0.065,0.00232,,,,,donut,62,0.62,1045.32,0.00992,31.9982,19.003,,0.992,2.0026,0.7370064,0.29016,,,,,,0.0403,0.0014384,,,,
2,5599,11150146098,usda-ndb-import,"Kids Graham Crackers, Chocolate",,,Roundy's,roundy-s,,,30 g (19 COOKIES),1954.0,15.0,0.0,73.33,23.33,,3.3,6.67,1.05918,0.417,,,,,,0.0,0.0036,,,,,cracker,30,0.3,586.2,0.0,21.999,6.999,,0.99,2.001,0.317754,0.1251,,,,,,0.0,0.00108,,,,
3,6793,11153041949,usda-ndb-import,Crunchy Oat Squares With Cinnamon Cereal,,,"Foodtown,  Foodtown  Inc.","foodtown,foodtown-inc",,,32 g (0.75 cup),1569.0,3.12,0.0,81.25,25.0,,6.2,9.38,1.07188,0.422,,,,0.438,,0.312,0.0225,,,,,cereal,32,0.32,502.08,0.0,26.0,8.0,,1.984,3.0016,0.3430016,0.13504,,,,0.14016,,0.09984,0.0072,,,,
4,9226,11225127700,usda-ndb-import,"Sweet P's Bake Shop, Jumbo Glazed Raised Donuts",,,Kingston Marketing Co,kingston-marketing-co,,,78 g (1 DONUT),1611.0,19.23,0.0,47.44,15.38,,1.3,5.13,1.0414,0.41,,,,,,0.103,0.00138,,,,,donut,78,0.78,1256.58,0.0,37.0032,11.9964,,1.014,4.0014,0.812292,0.3198,,,,,,0.08034,0.0010764,,,,
5,17698,21130266302,usda-ndb-import,"Pie Crust, Graham Cracker",,,"Signature Kitchens,  Safeway  Inc.","signature-kitchens,safeway-inc",,,21 g (0.125 CRUST),2192.0,28.57,0.0,57.14,23.81,,0.0,4.76,0.84582,0.333,,,,,,0.0,0.00171,,,,,cracker,21,0.21,460.32,0.0,11.9994,5.0001,,0.0,0.9996,0.1776222,0.06993,,,,,,0.0,0.0003591,,,,
6,17710,21130281022,usda-ndb-import,Corn Flakes Cereal,,,"Safeway Kitchens,  Safeway  Inc.","safeway-kitchens,safeway-inc",,,28 g (1 cup),1494.0,0.0,0.0,85.71,7.14,,3.6,7.14,1.45034,0.571,,,,0.107,,0.0,0.03214,,,,,cereal,28,0.28,418.32,0.0,23.9988,1.9992,,1.008,1.9992,0.4060952,0.15988,,,,0.02996,,0.0,0.0089992,,,,
7,21563,24300806247,usda-ndb-import,Mini Donuts,,,"Little Debbie,  Mckee Foods Corporation","little-debbie,mckee-foods-corporation",,,122 g (8 DONUTS),1987.0,27.05,0.02,55.74,30.33,,1.6,4.1,1.06172,0.418,,,,0.164,,0.033,0.00221,,,,,donut,122,1.22,2424.14,0.0244,68.0028,37.0026,,1.952,5.002,1.2952984,0.50996,,,,0.20008,,0.04026,0.0026962,,,,
8,31434,35826097101,usda-ndb-import,Sweet & Crispy Graham Crackers,,,"Food Lion,  Food Town Stores Inc.","food-lion,food-town-stores-inc",,,35 g (2 FULL CRACKER SHEETS),1674.0,5.71,0.0,80.0,22.86,,5.7,5.71,1.30556,0.514,,,,0.171,,0.429,0.00309,,,,,cracker,35,0.35,585.9,0.0,28.0,8.001,,1.995,1.9985,0.456946,0.1799,,,,0.05985,,0.15015,0.0010815,,,,
9,40525,41224710146,usda-ndb-import,Water Crackers,,,Roland,roland,,,16 g (16 g),1833.0,6.25,0.0,75.0,0.0,,6.2,6.25,1.905,0.75,,,,,,0.0,0.0,,,,,cracker,16,0.16,293.28,0.0,12.0,0.0,,0.992,1.0,0.3048,0.12,,,,,,0.0,0.0,,,,
10,50575,41498114947,usda-ndb-import,Sweetened Multi-Grain Cereal Made With Natural Fruit Flavors With Other Natural Flavors,,,Millville,millville,,,29 g (1 cup),1586.0,3.45,0.0,86.21,37.93,,10.3,3.45,1.18364,0.466,,,,0.103,,0.345,0.01552,,,,,cereal,29,0.29,459.94,0.0,25.0009,10.9997,,2.987,1.0005,0.3432556,0.13514,,,,0.02987,,0.10005,0.0045008,,,,
11,54983,42400060024,usda-ndb-import,Naturally & Artificially Flavored Sweetened Corn & Oat Cereal With Real Cocoa,,,Chocolatey Colossal Crunch,chocolatey-colossal-crunch,,,30 g (0.75 cup),1674.0,5.0,0.0,86.67,43.33,,3.3,3.33,1.69418,0.667,,,,0.167,,0.2,0.03,,,,,cereal,30,0.3,502.2,0.0,26.001,12.999,,0.99,0.999,0.508254,0.2001,,,,0.0501,,0.06,0.009,,,,
